function,dim,strategy1,strategy2,statistic,p_value,significant
rastrigin,2,MedianCenterStrategy,WeightedFitnessCenterStrategy,46.0,0.02752632706001189,YES
rastrigin,2,MedianCenterStrategy,WeightedRankCenterStrategy,31.0,0.055473927247519254,NO
rastrigin,2,MedianCenterStrategy,TrimmedMeanCenterStrategy,54.5,0.059034956565791274,NO
rastrigin,2,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,50.5,0.36519582233251513,NO
rastrigin,2,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,49.5,0.8504727486688672,NO
rastrigin,2,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,64.0,0.8357594196549244,NO
rastrigin,5,ArithmeticMeanCenterStrategy,MedianCenterStrategy,54.5,0.1769450755738572,NO
rastrigin,5,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,78.0,0.4939012303138084,NO
rastrigin,5,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,90.5,0.8562106793029811,NO
rastrigin,5,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,70.0,0.7582467576478057,NO
rastrigin,5,MedianCenterStrategy,WeightedFitnessCenterStrategy,60.5,0.09653624523475714,NO
rastrigin,5,MedianCenterStrategy,WeightedRankCenterStrategy,58.0,0.13618011270121635,NO
rastrigin,5,MedianCenterStrategy,TrimmedMeanCenterStrategy,69.0,0.2950816744308494,NO
rastrigin,5,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,70.0,0.7582467576478057,NO
rastrigin,5,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,67.5,0.43282219473061434,NO
rastrigin,5,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,90.5,0.588089369387326,NO
rastrigin,10,ArithmeticMeanCenterStrategy,MedianCenterStrategy,0.0,1.9073486328125e-06,YES
rastrigin,10,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,49.0,0.03623390197753906,YES
rastrigin,10,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,71.0,0.3340891514341221,NO
rastrigin,10,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,33.0,0.005580902099609375,YES
rastrigin,10,MedianCenterStrategy,WeightedFitnessCenterStrategy,0.0,1.9073486328125e-06,YES
rastrigin,10,MedianCenterStrategy,WeightedRankCenterStrategy,0.0,1.9073486328125e-06,YES
rastrigin,10,MedianCenterStrategy,TrimmedMeanCenterStrategy,5.0,1.9073486328125e-05,YES
rastrigin,10,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,68.0,0.2771920054090605,NO
