function,strategy,dim,seed,fx
sphere,TrimmedMeanCenterStrategy,2,42,4.6428906751920825e-25
sphere,TrimmedMeanCenterStrategy,2,123,8.308234607267233e-25
sphere,TrimmedMeanCenterStrategy,2,7,2.768597412389991e-24
sphere,TrimmedMeanCenterStrategy,2,2024,1.107880472630716e-24
sphere,TrimmedMeanCenterStrategy,2,999,2.5404981968744833e-24
sphere,TrimmedMeanCenterStrategy,2,1,1.9031901357906165e-24
sphere,TrimmedMeanCenterStrategy,2,314,1.0793326444701547e-24
sphere,TrimmedMeanCenterStrategy,2,2718,8.170711993292753e-24
sphere,TrimmedMeanCenterStrategy,2,2023,1.389824951399438e-24
sphere,TrimmedMeanCenterStrategy,2,86,9.106772688270033e-25
sphere,TrimmedMeanCenterStrategy,2,1000,7.602058000033226e-25
sphere,TrimmedMeanCenterStrategy,2,2000,1.4445064371332236e-24
sphere,TrimmedMeanCenterStrategy,2,1232,4.21003643077374e-25
sphere,TrimmedMeanCenterStrategy,2,10023,5.284399022630612e-25
sphere,TrimmedMeanCenterStrategy,2,12,2.068190227336253e-24
sphere,TrimmedMeanCenterStrategy,2,675,3.902670328791677e-24
sphere,TrimmedMeanCenterStrategy,2,55,2.915381308722531e-25
sphere,TrimmedMeanCenterStrategy,2,43,1.585309793679291e-23
sphere,TrimmedMeanCenterStrategy,2,34534,1.626771872700812e-24
sphere,TrimmedMeanCenterStrategy,2,22222,2.320805900608237e-24
sphere,ArithmeticMeanCenterStrategy,5,42,2.7302599510389357e-23
sphere,ArithmeticMeanCenterStrategy,5,123,5.243121776443599e-23
sphere,ArithmeticMeanCenterStrategy,5,7,1.2105851066089434e-23
sphere,ArithmeticMeanCenterStrategy,5,2024,1.375271924879713e-23
sphere,ArithmeticMeanCenterStrategy,5,999,3.9740881565521987e-23
sphere,ArithmeticMeanCenterStrategy,5,1,3.8411900769950604e-23
sphere,ArithmeticMeanCenterStrategy,5,314,2.5654989339040236e-23
sphere,ArithmeticMeanCenterStrategy,5,2718,2.0067227337312996e-23
sphere,ArithmeticMeanCenterStrategy,5,2023,1.760959789502082e-23
sphere,ArithmeticMeanCenterStrategy,5,86,1.0920333258304135e-23
sphere,ArithmeticMeanCenterStrategy,5,1000,3.3109177876026337e-23
sphere,ArithmeticMeanCenterStrategy,5,2000,1.9605920473350208e-23
sphere,ArithmeticMeanCenterStrategy,5,1232,1.0928308836494332e-23
sphere,ArithmeticMeanCenterStrategy,5,10023,2.928292758388643e-23
sphere,ArithmeticMeanCenterStrategy,5,12,3.535749991119363e-23
sphere,ArithmeticMeanCenterStrategy,5,675,5.3712794219154944e-24
sphere,ArithmeticMeanCenterStrategy,5,55,1.3625661621732753e-23
sphere,ArithmeticMeanCenterStrategy,5,43,7.146717449804138e-23
sphere,ArithmeticMeanCenterStrategy,5,34534,1.5004743915368404e-23
sphere,ArithmeticMeanCenterStrategy,5,22222,9.933927644647786e-24
sphere,MedianCenterStrategy,5,42,7.392931522743158e-23
sphere,MedianCenterStrategy,5,123,7.395064632726961e-23
sphere,MedianCenterStrategy,5,7,1.1233665925135323e-22
sphere,MedianCenterStrategy,5,2024,1.7282167457478197e-23
sphere,MedianCenterStrategy,5,999,5.558712967551147e-23
sphere,MedianCenterStrategy,5,1,2.844299321422439e-24
sphere,MedianCenterStrategy,5,314,4.57407981245707e-23
sphere,MedianCenterStrategy,5,2718,1.4043372582001772e-23
sphere,MedianCenterStrategy,5,2023,5.727265805896748e-23
sphere,MedianCenterStrategy,5,86,2.6274217803771152e-23
sphere,MedianCenterStrategy,5,1000,3.1095614861923495e-23
sphere,MedianCenterStrategy,5,2000,5.256193976064143e-23
sphere,MedianCenterStrategy,5,1232,5.522751245849498e-23
sphere,MedianCenterStrategy,5,10023,8.868403251005239e-23
sphere,MedianCenterStrategy,5,12,1.6263803184452932e-23
sphere,MedianCenterStrategy,5,675,4.286391964728168e-23
sphere,MedianCenterStrategy,5,55,2.4903797698145918e-23
sphere,MedianCenterStrategy,5,43,5.865175158832364e-23
sphere,MedianCenterStrategy,5,34534,2.27959196926064e-23
sphere,MedianCenterStrategy,5,22222,4.608459152513969e-23
sphere,WeightedFitnessCenterStrategy,5,42,3.9630295682702055e-23
sphere,WeightedFitnessCenterStrategy,5,123,7.422616673931812e-23
sphere,WeightedFitnessCenterStrategy,5,7,3.484954603914647e-23
sphere,WeightedFitnessCenterStrategy,5,2024,3.928512446854214e-23
sphere,WeightedFitnessCenterStrategy,5,999,1.7379114487364717e-23
sphere,WeightedFitnessCenterStrategy,5,1,4.3791475647071914e-23
sphere,WeightedFitnessCenterStrategy,5,314,1.954569903486962e-23
sphere,WeightedFitnessCenterStrategy,5,2718,8.987064069680353e-24
sphere,WeightedFitnessCenterStrategy,5,2023,5.305680725472224e-23
sphere,WeightedFitnessCenterStrategy,5,86,4.2511371850661085e-23
sphere,WeightedFitnessCenterStrategy,5,1000,1.1297333630265112e-23
sphere,WeightedFitnessCenterStrategy,5,2000,1.1981834178659365e-23
sphere,WeightedFitnessCenterStrategy,5,1232,2.06532219482562e-23
sphere,WeightedFitnessCenterStrategy,5,10023,2.1686855442402283e-23
sphere,WeightedFitnessCenterStrategy,5,12,1.9054430641397127e-23
sphere,WeightedFitnessCenterStrategy,5,675,3.420719019544782e-23
sphere,WeightedFitnessCenterStrategy,5,55,1.5007962673393795e-23
