iteration,fx
0,50.12167577855709
10,10.149539988947682
20,7.030857736664823
30,5.953327879404428
40,14.225808687181718
50,3.368896049197396
60,7.193556550536231
70,2.4330555251536587
80,2.245589064653686
90,2.0114710582934876
100,2.00448735055879
110,1.9975503532750665
120,1.9903327276753018
130,1.989920687174962
140,1.9899183456395448
150,1.9899181275226425
160,1.9899181149220446
170,1.989918115025798
180,1.9899181142300293
190,1.9899181141879474
200,1.989918114186679
210,1.9899181141866364
220,1.9899181141865867
230,1.9899181141865832
240,1.9899181141865796
250,1.9899181141865796
260,1.9899181141865832
270,1.9899181141865796
280,1.9899181141865832
290,1.9899181141865832
300,1.9899181141865832
310,1.9899181141865867
320,1.9899181141865832
330,1.9899181141865796
340,1.9899181141865796
350,1.9899181141865796
360,1.9899181141865796
370,1.9899181141865832
380,1.9899181141865832
390,1.9899181141865796
400,1.9899181141865796
410,1.9899181141865796
420,1.9899181141865796
430,1.9899181141865796
440,1.9899181141865796
450,1.9899181141865832
460,1.9899181141865832
470,1.9899181141865796
480,1.9899181141865796
490,1.9899181141865832
500,1.9899181141865796
510,1.9899181141865832
520,1.9899181141865832
530,1.9899181141865832
540,1.9899181141865796
550,1.9899181141865796
560,1.9899181141865796
570,1.9899181141865832
580,1.9899181141865832
590,1.9899181141865796
600,1.9899181141865796
610,1.9899181141865832
620,1.9899181141865796
630,1.9899181141865796
640,1.9899181141865796
650,1.9899181141865832
660,1.9899181141865832
670,1.9899181141865796
680,1.9899181141865832
690,1.9899181141865796
700,1.9899181141865796
