iteration,fx
0,2327.018873158727
10,1676.377955112741
20,-489.4871575949128
30,-6969.796544501123
40,-10498.437400272394
50,-26241.898619890693
60,-31178.81279788603
70,-62792.8189089073
80,-85999.12197636277
90,-149169.542963583
100,-238923.6931184006
110,-289259.0700964114
120,-970449.8642448
130,-1116711.9799123844
140,-1467806.047357333
150,-1067314.8544896857
160,-2093495.337523697
170,-3451071.722522996
180,-7383805.1586267315
190,-4073719.1724103517
200,-8920055.185558375
210,-3108396.7100278446
220,-15028132.77382283
230,-19521679.987964485
240,-73697000.343873
250,-46911363.16445304
260,-58565273.672080316
270,-74016048.96825632
280,-99869056.3696252
290,-46030489.41256564
300,-172218053.79464805
310,-38682398.21695998
320,-59099489.95997358
330,-138513956.9915804
340,-77519106.34786582
350,-367728381.8552908
360,-259086769.511848
370,-2058487718.2173722
380,-2381959912.91258
390,-3585880428.6951194
400,-8523821597.9277725
410,-6590356024.161814
420,-8588861409.108188
430,-18777187306.4064
440,-24841291323.808464
450,-24322077958.083237
460,-16065197262.712084
470,-31192471029.278946
480,-34789044368.50089
490,-36751709256.46104
500,-21859560609.968002
510,-9441051370.742483
520,-25122288345.07034
530,-42817497273.13345
540,-44704629434.896225
550,-45586684143.06781
560,-43071815800.19865
570,-51244412626.748375
580,-41698563075.41028
590,-53311268715.76986
600,-40299472013.18607
610,-44446803385.094505
620,-76134361884.67685
630,-57170358594.511925
640,-48974008824.48311
650,-41579369683.69837
660,-46048535270.02795
670,-44609285578.85929
680,-18281027108.780552
690,-61464211126.11572
700,-27450324763.98772
710,-33300516385.602226
720,-34551967330.99116
730,-23418073099.39494
740,-47421246562.96798
750,-96346687340.08739
760,-101173641793.81706
770,-56292366128.519135
780,-20764529480.701736
790,-30895940122.69047
800,-73908646660.45392
810,-53341273407.28597
820,-58611116119.27226
830,-33167792997.98283
840,-59463360661.95657
850,-31272681397.209904
860,-40791927022.48934
870,-39351495534.6446
880,-77951714902.58788
890,-59348544244.881
900,-61504108656.97402
910,-51170861883.9432
920,-51129364248.51946
930,-27720780870.910282
940,-67083343166.053955
950,-49557743423.785774
960,-102428598334.78874
970,-53651233974.78486
980,-48555991137.81396
990,-20567842933.883873
1000,-41347169047.974014
1010,-63706089079.38626
1020,-67954095427.19778
1030,-32307725139.783813
1040,-76234441965.46432
1050,-61415715578.622665
1060,-50610101597.15529
1070,-112792720490.26381
1080,-76475107208.41554
1090,-94853328150.28955
1100,-72865876017.0491
1110,-62223843660.658424
1120,-26335006010.865078
1130,-25563133542.19524
1140,-92552756898.67896
1150,-59400802481.70111
1160,-31215598513.0524
1170,-115643395649.74432
1180,-46420802136.97768
1190,-120584302116.33769
1200,-102545221175.09294
1210,-140503101334.20612
1220,-83545923294.45877
1230,-70434904781.90094
1240,-105997383117.09189
1250,-68939384797.8328
1260,-39452201680.4894
1270,-60001929873.325005
1280,-32756668165.5267
1290,-43529446907.55639
1300,-36690363631.54316
1310,-37132401231.02332
1320,-52837060393.62464
1330,-39427308388.270805
1340,-45316106215.300896
1350,-30763944743.01195
1360,-22061912596.555267
1370,-25754314144.890194
1380,-27107964921.92123
1390,-39733094544.1086
1400,-76133460244.18951
1410,-39674196286.603455
1420,-76277365163.12018
1430,-31681669261.56723
1440,-86308198282.89297
1450,-43192154356.20088
1460,-10700312943.807953
1470,-51519469592.02624
1480,-70039278950.7678
1490,-67236463850.020615
1500,-127465238003.74203
1510,-157207495260.40027
1520,-87065478738.55333
1530,-85691226179.90524
1540,-119209196020.06314
1550,-100173611645.58507
1560,-182034848306.2985
1570,-208298904274.3749
1580,-151314859393.13348
1590,-182054817063.72647
1600,-199069138128.82584
1610,-74553040466.022
1620,-164216017518.87106
1630,-116212075934.46602
1640,-143782916175.44443
1650,-232073214631.66437
1660,-159726116585.0717
1670,-199036529903.58475
1680,-282963027528.2153
1690,-302808182259.5003
1700,-253811623969.6161
1710,-256431644011.38358
1720,-204988857006.4571
1730,-342598294726.48267
1740,-211909857709.78036
1750,-322710527318.1873
1760,30116649707.733147
1770,-155432974516.69113
1780,-296003482798.70984
1790,-567606944084.6068
1800,-298077581831.5851
1810,-174147183063.02975
1820,-379837775701.1918
1830,-339859998692.5948
1840,-361415372985.7404
1850,-423555890403.6989
1860,-233995277080.72137
1870,-294762061337.1346
1880,-429069453814.74945
1890,-278283324510.20166
1900,-521476050003.02325
1910,-400669090696.56683
1920,-244419799205.7565
1930,-387939882344.8185
1940,-413497058443.4422
1950,-168779369497.01746
1960,-569829961788.0004
1970,-119030843333.36334
1980,-607181598271.4781
1990,-239631422413.99493
2000,-784906630082.2644
2010,-405933323370.8809
2020,-630029404267.3065
2030,-375973025571.0472
2040,-290847701285.1325
2050,-301697598435.5043
2060,-308741386700.7225
2070,-219601333944.7037
2080,-344630846227.3582
2090,-277867829989.5395
2100,-304037652115.6801
2110,-680750882288.7977
2120,-599827668552.6989
2130,-773661608819.3477
2140,-484049897231.8674
2150,-703013629478.9105
2160,-534310677114.8405
2170,-433363506280.13605
2180,-258214201523.5541
2190,-294626712197.57935
2200,-313644241691.262
2210,-314118420199.7404
2220,-278563223173.3498
2230,-472983663738.4796
2240,-544453411090.8799
2250,-692121017175.6798
2260,-616433503241.7311
2270,-363024918701.2908
2280,-791556501772.7444
2290,-447967732259.76
2300,-415173739440.38293
2310,-559484921651.4507
