iteration,fx
0,0.38660520382989505
10,3.4566935625468997
20,3.555229206520441
30,2.7403832263404486
40,0.1299708014599621
50,0.19211780619688357
60,0.09661386858869436
70,0.02146366096719321
80,0.010312949151157103
90,0.00626124633245384
100,0.001889579700883548
110,0.00017066189850156732
120,0.0001789481123855019
130,2.1603249717561113e-05
140,2.613614897528649e-05
150,6.206926958629566e-06
160,3.30071523579889e-06
170,1.100102352769028e-06
180,2.6673626551954044e-07
190,5.622723309173239e-08
200,1.918499674680163e-07
210,1.0202127898040203e-07
220,2.9699336767663453e-08
230,7.886310715576883e-09
240,5.450897067049709e-09
250,6.924776307926095e-10
260,1.5121028873466003e-09
270,9.137903766998079e-10
280,5.308895545397263e-10
290,6.658216200605693e-10
300,4.66215954730842e-10
310,1.1470691063664162e-10
320,8.890710390119239e-11
330,7.113998279351108e-11
340,3.8984371286687747e-11
350,2.126698817050965e-11
360,1.6765699939469414e-11
370,2.5512925105886097e-12
380,5.041744799427761e-12
390,7.795097900498149e-12
400,3.2156499685243034e-12
410,5.894396082339881e-12
420,7.439826532618099e-12
430,6.072031766279906e-12
440,8.384848371179032e-12
450,1.1322942583547047e-11
460,1.1536105404275077e-11
470,8.498535208900648e-12
480,4.199751657552042e-12
490,2.6862956303830288e-12
500,6.263878304935133e-12
510,7.891021169825763e-12
520,1.6915358003188885e-12
530,3.9013237085328e-12
540,2.6791902030254278e-12
550,9.880984919163893e-13
560,3.2298608232395054e-12
570,8.022471575941381e-12
580,1.0520473381347983e-12
590,7.606804075521723e-12
600,3.098410417123887e-12
610,1.113820147224942e-11
620,2.7751134723530413e-12
630,5.10924635932497e-12
640,2.0468071681989386e-12
650,2.6649793483102258e-12
660,6.121769757783113e-12
670,8.342215807033426e-12
680,2.3949731087213877e-12
690,4.046984969363621e-12
700,3.6064484731923585e-12
