iteration,fx
0,24.01270914468606
10,0.013679016561968604
20,0.006686082047105799
30,0.00010583725188590708
40,1.4081986885315441e-06
50,1.3698837501298837e-07
60,2.6489938033202318e-09
70,3.040356228420138e-11
80,5.023391104658643e-13
90,4.3919245744020953e-13
100,2.6583748306991364e-14
110,9.075895094966583e-16
120,5.8063015752163255e-18
130,8.706222061811849e-18
140,4.768148243014997e-18
150,7.340651507773125e-19
160,1.546175953785158e-20
170,5.378111498755933e-21
180,3.3570238129378954e-22
190,3.0626465844287216e-23
200,2.3681102535534234e-24
210,8.878525762807983e-25
220,1.3776938487710064e-24
230,4.679449916471132e-24
240,1.3595936137242506e-24
250,3.123992870443114e-25
260,5.435831311448233e-25
270,9.159967102724762e-24
280,1.8924647114328794e-24
290,1.402883465289003e-24
300,2.5726862002940606e-24
310,8.992108524399696e-24
320,3.2282215490838415e-24
330,4.409273192311772e-24
340,1.7682718512253184e-23
350,1.4034245018255877e-23
360,3.0530942332296264e-24
370,1.720808286516966e-25
380,7.285213146563947e-24
390,2.991823208906219e-24
400,1.778163317987268e-25
410,8.82677898226382e-24
420,1.1570291957766677e-24
430,6.69505106057025e-24
440,3.887322799287684e-24
450,4.947743083371681e-24
460,2.1093581208713853e-24
470,2.4235836490979336e-23
480,5.873850454444283e-25
490,2.7105925600664058e-24
500,2.274809799702526e-25
510,6.182067882931293e-24
520,2.4403811987128826e-24
530,4.323964534862708e-24
540,2.1968162340268543e-24
550,1.3469409695476547e-24
560,7.409244880262756e-24
570,6.190313173796152e-25
580,1.1235439891974604e-23
590,1.9756434295358574e-24
600,9.553066338631126e-26
610,8.728964120401844e-24
620,1.2457541581801572e-25
630,6.4822991487097876e-24
640,1.470293700526477e-24
650,2.2348193338191698e-24
660,1.966396770309588e-23
670,3.73994555177616e-24
680,1.3122700673110398e-24
690,1.9553645999680737e-24
700,5.507736428603511e-25
